team,name,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
3,¿c²M»Í,0,4,20,19,59,17,128,7,206,1,3,21,198,342,1076,43
3,¶À¬fèû,0,1,20,0,0,0,0,0,0,169,454,117,567,3,57,0
3,ªL¬R¥à,0,5,20,42,90,27,128,3,124,2,2,0,44,0,3,72
3,³¯¬R»¨,0,2,11,5,9,0,1,1,11,4,17,1,14,0,0,6
3,¬_©v¨j,0,5,20,99,201,37,214,5,249,1,9,10,77,0,10,141
3,¶À¤h®i,0,2,20,113,277,6,69,18,192,63,224,23,169,1,30,137
3,µJÂ{¸Û,0,2,13,131,297,13,70,2,127,101,269,27,161,2,11,146
4,¥Û­×´¼,0,4,9,1,8,2,30,3,52,0,0,10,81,127,350,6
4,±i©û«G,0,1,20,0,0,0,0,0,0,126,379,83,411,4,57,0
4,³¯«É§Ê,0,2,9,10,42,0,15,0,19,39,91,11,57,0,6,10
4,³\°ê§»,0,4,11,5,17,4,35,1,77,0,0,6,121,87,553,10
4,§õÞ³°a,0,1,11,0,0,0,1,0,0,6,21,16,71,0,11,0
4,¾G¤å¶Q,0,3,20,48,98,10,92,5,101,2,28,3,76,2,11,63
4,·¨¤l¾e,0,5,11,17,58,2,21,3,31,5,57,4,50,1,7,22
4,©P¤l´­,0,4,20,4,15,6,42,2,100,0,2,13,131,181,746,12
4,§º¬f¾^,0,2,20,122,296,8,68,4,126,82,353,26,153,1,20,134
4,©P«a¦t,0,3,20,203,471,13,118,11,176,0,2,16,195,1,9,227
4,§õ¼á©¦,0,5,20,43,126,15,120,3,165,1,2,6,81,1,6,61
4,´çÃä¨Ý¿i,0,5,20,64,151,19,163,1,149,1,3,5,78,1,8,84
4,³¢®a»Ê,0,3,20,118,307,8,77,3,133,10,220,19,157,0,7,129
4,§d«H½å,0,2,20,163,364,7,66,5,206,74,274,34,242,0,5,175
4,¾G®¶_,0,2,9,11,28,5,31,0,30,0,3,1,11,0,0,16
5,¾H©¨Ïç,0,2,20,120,287,12,58,2,143,58,316,13,148,1,10,134
5,ªL¬FÞ³,0,5,20,79,188,31,150,13,234,7,27,5,73,0,12,123
5,³¯¬FÀB,0,5,20,94,180,45,201,6,193,1,6,10,94,2,25,145
5,ªL¨ÛÞm,0,2,9,0,0,0,2,0,1,0,0,0,1,0,0,0
5,§õ¨K®¦,0,4,20,6,15,12,80,5,153,0,5,14,131,247,787,23
5,¬xº³¶v,0,3,20,202,434,23,98,7,200,2,14,30,203,3,27,232
5,±ä®Ê»¢,0,2,20,5,9,0,0,0,30,6,28,3,20,0,2,5
5,¼BªYèû,0,5,11,0,1,0,3,0,2,0,0,0,1,0,0,0
5,³\¬ü¤¤,0,2,20,220,506,16,150,8,230,90,431,27,229,8,42,244
5,¾G¥É´Ë,0,1,20,0,0,0,0,0,0,137,442,88,428,3,65,0
5,¶À¤å«Û,0,2,20,121,305,3,61,2,132,50,235,10,135,0,9,126
5,³¯«a¤¤,0,2,20,28,58,10,61,1,71,1,5,4,39,0,5,39
5,¶À¤¯«Â,0,4,20,23,40,6,70,5,170,0,1,10,169,158,836,34
7,´¿Ú{²Ü,1,5,20,140,316,30,235,10,197,2,14,22,157,2,38,180
7,§õ¿Ù,1,3,20,171,497,20,167,7,156,0,5,38,287,0,32,198
7,³¢ÂÑ»ö,1,2,14,3,14,0,3,0,11,3,31,3,22,0,2,3
7,ÁÂÐwêÝ,1,4,20,10,39,5,97,10,204,0,3,45,347,337,1429,25
